Question Type,Words (in each question post),Type
w/o stack trace,79,Question Type
w/o stack trace,65,Question Type
w/o stack trace,64,Question Type
w/o stack trace,97,Question Type
w/o stack trace,56,Question Type
w/o stack trace,118,Question Type
w/o stack trace,96,Question Type
w/o stack trace,61,Question Type
w/o stack trace,94,Question Type
w/o stack trace,78,Question Type
w/o stack trace,91,Question Type
w/o stack trace,83,Question Type
w/o stack trace,105,Question Type
w/o stack trace,24,Question Type
w/o stack trace,112,Question Type
w/o stack trace,57,Question Type
w/o stack trace,127,Question Type
w/o stack trace,142,Question Type
w/o stack trace,97,Question Type
w/o stack trace,162,Question Type
w/o stack trace,78,Question Type
w/o stack trace,73,Question Type
w/o stack trace,124,Question Type
w/o stack trace,199,Question Type
w/o stack trace,79,Question Type
w/o stack trace,128,Question Type
w/o stack trace,47,Question Type
w/o stack trace,75,Question Type
w/o stack trace,146,Question Type
w/o stack trace,92,Question Type
w/o stack trace,74,Question Type
w/o stack trace,30,Question Type
w/o stack trace,124,Question Type
w/o stack trace,48,Question Type
w/o stack trace,69,Question Type
w/o stack trace,31,Question Type
w/o stack trace,89,Question Type
w/o stack trace,62,Question Type
w/o stack trace,115,Question Type
w/o stack trace,77,Question Type
w/o stack trace,201,Question Type
w/o stack trace,94,Question Type
w/o stack trace,22,Question Type
w/o stack trace,18,Question Type
w/o stack trace,49,Question Type
w/o stack trace,287,Question Type
w/o stack trace,146,Question Type
w/o stack trace,94,Question Type
w/o stack trace,132,Question Type
w/o stack trace,116,Question Type
w/o stack trace,80,Question Type
w/o stack trace,33,Question Type
w/o stack trace,104,Question Type
w/o stack trace,55,Question Type
w/o stack trace,26,Question Type
w/o stack trace,74,Question Type
w/o stack trace,118,Question Type
w/o stack trace,138,Question Type
w/o stack trace,38,Question Type
w/o stack trace,39,Question Type
w/o stack trace,19,Question Type
w/o stack trace,68,Question Type
w/o stack trace,126,Question Type
w/o stack trace,124,Question Type
w/o stack trace,69,Question Type
w/o stack trace,115,Question Type
w/o stack trace,137,Question Type
w/o stack trace,69,Question Type
w/o stack trace,70,Question Type
w/o stack trace,63,Question Type
w/o stack trace,36,Question Type
w/o stack trace,197,Question Type
w/o stack trace,33,Question Type
w/o stack trace,56,Question Type
w/o stack trace,61,Question Type
w/o stack trace,104,Question Type
w/o stack trace,56,Question Type
w/o stack trace,55,Question Type
w/o stack trace,127,Question Type
w/o stack trace,39,Question Type
w/o stack trace,70,Question Type
w/o stack trace,28,Question Type
w/o stack trace,57,Question Type
w/o stack trace,21,Question Type
w/o stack trace,112,Question Type
w/o stack trace,98,Question Type
w/o stack trace,72,Question Type
w/o stack trace,64,Question Type
w/o stack trace,111,Question Type
w/o stack trace,86,Question Type
w/o stack trace,57,Question Type
w/o stack trace,43,Question Type
w/o stack trace,143,Question Type
w/o stack trace,68,Question Type
w/o stack trace,38,Question Type
w/o stack trace,142,Question Type
w/o stack trace,110,Question Type
w/o stack trace,24,Question Type
w/o stack trace,118,Question Type
w/o stack trace,36,Question Type
w/o stack trace,84,Question Type
w/o stack trace,195,Question Type
w/o stack trace,166,Question Type
w/o stack trace,64,Question Type
w/o stack trace,46,Question Type
w/o stack trace,57,Question Type
w/o stack trace,27,Question Type
w/o stack trace,65,Question Type
w/o stack trace,27,Question Type
w/o stack trace,151,Question Type
w/o stack trace,60,Question Type
w/o stack trace,145,Question Type
w/o stack trace,150,Question Type
w/o stack trace,162,Question Type
w/o stack trace,118,Question Type
w/o stack trace,85,Question Type
w/o stack trace,222,Question Type
w/o stack trace,82,Question Type
w/o stack trace,207,Question Type
w/o stack trace,40,Question Type
w/o stack trace,121,Question Type
w/o stack trace,52,Question Type
w/o stack trace,71,Question Type
w/o stack trace,53,Question Type
w/o stack trace,48,Question Type
w/o stack trace,107,Question Type
w/o stack trace,123,Question Type
w/o stack trace,80,Question Type
w/o stack trace,35,Question Type
w/o stack trace,86,Question Type
w/o stack trace,56,Question Type
w/o stack trace,19,Question Type
w/o stack trace,70,Question Type
w/o stack trace,148,Question Type
w/o stack trace,28,Question Type
w/o stack trace,108,Question Type
w/o stack trace,104,Question Type
w/o stack trace,162,Question Type
w/o stack trace,57,Question Type
w/o stack trace,166,Question Type
w/o stack trace,33,Question Type
w/o stack trace,90,Question Type
w/o stack trace,41,Question Type
w/o stack trace,81,Question Type
w/o stack trace,48,Question Type
w/o stack trace,84,Question Type
w/o stack trace,89,Question Type
w/o stack trace,92,Question Type
w/o stack trace,113,Question Type
w/o stack trace,108,Question Type
w/o stack trace,36,Question Type
w/o stack trace,50,Question Type
w/o stack trace,50,Question Type
w/o stack trace,69,Question Type
w/o stack trace,133,Question Type
w/o stack trace,88,Question Type
w/o stack trace,77,Question Type
w/o stack trace,175,Question Type
w/o stack trace,53,Question Type
w/o stack trace,172,Question Type
w/o stack trace,113,Question Type
w/o stack trace,54,Question Type
w/o stack trace,83,Question Type
w/o stack trace,158,Question Type
w/o stack trace,77,Question Type
w/o stack trace,41,Question Type
w/o stack trace,32,Question Type
w/o stack trace,27,Question Type
w/o stack trace,55,Question Type
w/o stack trace,117,Question Type
w/o stack trace,65,Question Type
w/o stack trace,61,Question Type
w/o stack trace,26,Question Type
w/o stack trace,64,Question Type
w/o stack trace,120,Question Type
w/o stack trace,46,Question Type
w/o stack trace,106,Question Type
w/o stack trace,37,Question Type
w/o stack trace,149,Question Type
w/o stack trace,76,Question Type
w/o stack trace,51,Question Type
w/o stack trace,98,Question Type
w/o stack trace,31,Question Type
w/o stack trace,58,Question Type
w/o stack trace,39,Question Type
w/o stack trace,54,Question Type
w/o stack trace,79,Question Type
w/o stack trace,81,Question Type
w/o stack trace,98,Question Type
w/o stack trace,96,Question Type
w/o stack trace,253,Question Type
w/o stack trace,67,Question Type
w/o stack trace,193,Question Type
w/o stack trace,89,Question Type
w/o stack trace,68,Question Type
w/o stack trace,48,Question Type
w/o stack trace,20,Question Type
w/o stack trace,75,Question Type
w/o stack trace,52,Question Type
w/o stack trace,221,Question Type
w/o stack trace,29,Question Type
w/o stack trace,141,Question Type
w/o stack trace,288,Question Type
w/o stack trace,59,Question Type
w/o stack trace,133,Question Type
w/o stack trace,46,Question Type
w/o stack trace,19,Question Type
w/o stack trace,181,Question Type
w/o stack trace,44,Question Type
w/o stack trace,79,Question Type
w/o stack trace,116,Question Type
w/o stack trace,135,Question Type
w/o stack trace,22,Question Type
w/o stack trace,111,Question Type
w/o stack trace,33,Question Type
w/o stack trace,50,Question Type
w/o stack trace,104,Question Type
w/o stack trace,55,Question Type
w/o stack trace,56,Question Type
w/o stack trace,165,Question Type
w/o stack trace,87,Question Type
w/o stack trace,499,Question Type
w/o stack trace,28,Question Type
w/o stack trace,43,Question Type
w/o stack trace,58,Question Type
w/o stack trace,58,Question Type
w/o stack trace,131,Question Type
w/o stack trace,53,Question Type
w/o stack trace,231,Question Type
w/o stack trace,55,Question Type
w/o stack trace,146,Question Type
w/o stack trace,99,Question Type
w/o stack trace,87,Question Type
w/o stack trace,45,Question Type
w/o stack trace,74,Question Type
w/o stack trace,95,Question Type
w/o stack trace,96,Question Type
w/o stack trace,32,Question Type
w/o stack trace,49,Question Type
w/o stack trace,59,Question Type
w/o stack trace,62,Question Type
w/o stack trace,159,Question Type
w/o stack trace,55,Question Type
w/o stack trace,52,Question Type
w/o stack trace,94,Question Type
w/o stack trace,37,Question Type
w/o stack trace,32,Question Type
w/o stack trace,100,Question Type
w/o stack trace,59,Question Type
w/o stack trace,104,Question Type
w/o stack trace,77,Question Type
w/o stack trace,64,Question Type
w/o stack trace,60,Question Type
w/o stack trace,83,Question Type
w/o stack trace,127,Question Type
w/o stack trace,84,Question Type
w/o stack trace,72,Question Type
w/o stack trace,55,Question Type
w/o stack trace,71,Question Type
w/o stack trace,57,Question Type
w/o stack trace,53,Question Type
w/o stack trace,61,Question Type
w/o stack trace,86,Question Type
w/o stack trace,173,Question Type
w/o stack trace,43,Question Type
w/o stack trace,105,Question Type
w/o stack trace,111,Question Type
w/o stack trace,95,Question Type
w/o stack trace,93,Question Type
w/o stack trace,181,Question Type
w/o stack trace,67,Question Type
w/o stack trace,52,Question Type
w/o stack trace,89,Question Type
w/o stack trace,17,Question Type
w/o stack trace,150,Question Type
w/o stack trace,105,Question Type
w/o stack trace,116,Question Type
w/o stack trace,32,Question Type
w/o stack trace,107,Question Type
w/o stack trace,33,Question Type
w/o stack trace,82,Question Type
w/o stack trace,32,Question Type
w/o stack trace,73,Question Type
w/o stack trace,100,Question Type
w/o stack trace,111,Question Type
w/o stack trace,58,Question Type
w/o stack trace,81,Question Type
w/o stack trace,65,Question Type
w/o stack trace,72,Question Type
w/o stack trace,87,Question Type
w/o stack trace,85,Question Type
w/o stack trace,150,Question Type
w/o stack trace,62,Question Type
w/o stack trace,31,Question Type
w/o stack trace,131,Question Type
w/o stack trace,155,Question Type
w/o stack trace,37,Question Type
w/o stack trace,26,Question Type
w/o stack trace,189,Question Type
w/o stack trace,79,Question Type
w/o stack trace,92,Question Type
w/o stack trace,33,Question Type
w/o stack trace,16,Question Type
w/o stack trace,103,Question Type
w/o stack trace,153,Question Type
w/o stack trace,263,Question Type
w/o stack trace,56,Question Type
w/o stack trace,82,Question Type
w/o stack trace,90,Question Type
w/o stack trace,58,Question Type
w/o stack trace,125,Question Type
w/o stack trace,57,Question Type
w/o stack trace,57,Question Type
w/o stack trace,115,Question Type
w/o stack trace,35,Question Type
w/o stack trace,73,Question Type
w/o stack trace,97,Question Type
w/o stack trace,27,Question Type
w/o stack trace,32,Question Type
w/o stack trace,83,Question Type
w/o stack trace,122,Question Type
w/o stack trace,68,Question Type
w/o stack trace,67,Question Type
w/o stack trace,53,Question Type
w/o stack trace,133,Question Type
w/o stack trace,72,Question Type
w/o stack trace,80,Question Type
w/o stack trace,81,Question Type
w/o stack trace,59,Question Type
w/o stack trace,61,Question Type
w/o stack trace,92,Question Type
w/o stack trace,203,Question Type
w/o stack trace,92,Question Type
w/o stack trace,49,Question Type
w/o stack trace,42,Question Type
w/o stack trace,56,Question Type
w/o stack trace,49,Question Type
w/o stack trace,71,Question Type
w/o stack trace,188,Question Type
w/o stack trace,215,Question Type
w/o stack trace,157,Question Type
w/o stack trace,332,Question Type
w/o stack trace,11,Question Type
w/o stack trace,93,Question Type
w/o stack trace,38,Question Type
w/o stack trace,92,Question Type
w/o stack trace,91,Question Type
w/o stack trace,58,Question Type
w/o stack trace,45,Question Type
w/o stack trace,68,Question Type
w/o stack trace,48,Question Type
w/o stack trace,42,Question Type
w/o stack trace,68,Question Type
w/o stack trace,283,Question Type
w/o stack trace,120,Question Type
w/o stack trace,144,Question Type
w/o stack trace,51,Question Type
w/o stack trace,40,Question Type
w/o stack trace,49,Question Type
w/o stack trace,76,Question Type
w/o stack trace,79,Question Type
w/o stack trace,47,Question Type
w/o stack trace,72,Question Type
w/o stack trace,120,Question Type
w/o stack trace,156,Question Type
w/o stack trace,84,Question Type
w/o stack trace,128,Question Type
w/o stack trace,58,Question Type
w/o stack trace,142,Question Type
w/o stack trace,89,Question Type
w/o stack trace,45,Question Type
w/o stack trace,49,Question Type
w/o stack trace,59,Question Type
w/o stack trace,35,Question Type
w/o stack trace,79,Question Type
w/o stack trace,26,Question Type
w/o stack trace,55,Question Type
w/o stack trace,96,Question Type
w/o stack trace,69,Question Type
w/o stack trace,61,Question Type
w/o stack trace,149,Question Type
w/o stack trace,157,Question Type
w/o stack trace,100,Question Type
w/o stack trace,215,Question Type
w/o stack trace,59,Question Type
w/o stack trace,39,Question Type
w/o stack trace,97,Question Type
w/o stack trace,71,Question Type
w/o stack trace,98,Question Type
w/o stack trace,0,Question Type
w/o stack trace,60,Question Type
w/o stack trace,52,Question Type
w/o stack trace,28,Question Type
w/o stack trace,116,Question Type
w/o stack trace,45,Question Type
w/o stack trace,109,Question Type
w/o stack trace,52,Question Type
w/o stack trace,35,Question Type
w/o stack trace,123,Question Type
w/o stack trace,61,Question Type
w/o stack trace,50,Question Type
w/o stack trace,86,Question Type
w/o stack trace,96,Question Type
w/o stack trace,102,Question Type
w/o stack trace,77,Question Type
w/o stack trace,83,Question Type
w/o stack trace,68,Question Type
w/o stack trace,92,Question Type
w/o stack trace,73,Question Type
w/o stack trace,42,Question Type
w/o stack trace,39,Question Type
w/o stack trace,163,Question Type
w/o stack trace,145,Question Type
w/o stack trace,129,Question Type
w/o stack trace,78,Question Type
w/o stack trace,65,Question Type
w/o stack trace,104,Question Type
w/o stack trace,75,Question Type
w/o stack trace,94,Question Type
w/o stack trace,16,Question Type
w/o stack trace,42,Question Type
w/o stack trace,29,Question Type
w/o stack trace,33,Question Type
w/o stack trace,57,Question Type
w/o stack trace,64,Question Type
w/o stack trace,35,Question Type
w/o stack trace,223,Question Type
w/o stack trace,110,Question Type
w/o stack trace,68,Question Type
w/o stack trace,70,Question Type
w/o stack trace,153,Question Type
w/o stack trace,51,Question Type
w/o stack trace,31,Question Type
w/o stack trace,102,Question Type
w/o stack trace,152,Question Type
w/o stack trace,58,Question Type
w/o stack trace,150,Question Type
w/o stack trace,53,Question Type
w/o stack trace,186,Question Type
w/o stack trace,36,Question Type
w/o stack trace,121,Question Type
w/o stack trace,58,Question Type
w/o stack trace,107,Question Type
w/o stack trace,64,Question Type
w/o stack trace,102,Question Type
w/o stack trace,162,Question Type
w/o stack trace,76,Question Type
w/o stack trace,241,Question Type
w/o stack trace,49,Question Type
w/o stack trace,188,Question Type
w/o stack trace,205,Question Type
w/o stack trace,67,Question Type
w/o stack trace,46,Question Type
w/o stack trace,93,Question Type
w/o stack trace,242,Question Type
w/o stack trace,34,Question Type
w/o stack trace,51,Question Type
w/o stack trace,82,Question Type
w/o stack trace,201,Question Type
w/o stack trace,46,Question Type
w/o stack trace,46,Question Type
w/o stack trace,65,Question Type
w/o stack trace,34,Question Type
w/o stack trace,221,Question Type
w/o stack trace,68,Question Type
w/o stack trace,145,Question Type
w/o stack trace,61,Question Type
w/o stack trace,23,Question Type
w/o stack trace,38,Question Type
w/o stack trace,165,Question Type
w/o stack trace,28,Question Type
w/o stack trace,43,Question Type
w/o stack trace,73,Question Type
w/o stack trace,142,Question Type
w/o stack trace,113,Question Type
w/o stack trace,68,Question Type
w/o stack trace,63,Question Type
w/o stack trace,102,Question Type
w/o stack trace,133,Question Type
w/o stack trace,40,Question Type
w/o stack trace,72,Question Type
w/o stack trace,31,Question Type
w/o stack trace,99,Question Type
w/o stack trace,143,Question Type
w/o stack trace,69,Question Type
w/o stack trace,108,Question Type
w/o stack trace,37,Question Type
w/o stack trace,52,Question Type
w/o stack trace,157,Question Type
w/o stack trace,102,Question Type
w/o stack trace,109,Question Type
w/o stack trace,178,Question Type
w/o stack trace,100,Question Type
w/o stack trace,130,Question Type
w/o stack trace,62,Question Type
w/o stack trace,59,Question Type
w/o stack trace,91,Question Type
w/o stack trace,484,Question Type
w/o stack trace,93,Question Type
w/o stack trace,52,Question Type
w/o stack trace,87,Question Type
w/o stack trace,24,Question Type
w/o stack trace,151,Question Type
w/o stack trace,147,Question Type
w/o stack trace,131,Question Type
w/o stack trace,136,Question Type
w/o stack trace,97,Question Type
w/o stack trace,54,Question Type
w/o stack trace,72,Question Type
w/o stack trace,55,Question Type
w/o stack trace,13,Question Type
w/o stack trace,68,Question Type
w/o stack trace,86,Question Type
w/o stack trace,30,Question Type
w/o stack trace,41,Question Type
w/o stack trace,64,Question Type
w/o stack trace,33,Question Type
w/o stack trace,41,Question Type
w/o stack trace,261,Question Type
w/o stack trace,87,Question Type
w/o stack trace,61,Question Type
w/o stack trace,52,Question Type
w/o stack trace,85,Question Type
w/o stack trace,80,Question Type
w/o stack trace,123,Question Type
w/o stack trace,146,Question Type
w/o stack trace,148,Question Type
w/o stack trace,60,Question Type
