,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,1286301.0,2009-08-17 05:36:56,5870.0,3.0,17.0,4.0,1287621.0,"[(1286326.0, '2009-08-17 05:49:33'), (1287150.0, '2009-08-17 10:08:31'), (1287621.0, '2009-08-17 12:15:05'), (13110476.0, '2012-10-28 16:04:08')]",2009-08-17 05:49:33,2009-08-17 12:15:05,0.21027777777777779,6.635833333333333
1,2187510.0,2010-02-02 20:37:27,1185.0,0.0,0.0,3.0,2187676.0,"[(2187676.0, '2010-02-02 21:01:57'), (3444910.0, '2010-08-09 23:19:50'), (8992476.0, '2012-01-24 19:00:10')]",2010-02-02 21:01:57,2010-02-02 21:01:57,0.4083333333333333,0.4083333333333333
2,2289046.0,2010-02-18 13:55:51,4950.0,0.0,7.0,3.0,2295334.0,"[(5208563.0, '2011-03-06 03:49:37'), (2295334.0, '2010-02-19 09:52:43'), (32600878.0, '2015-09-16 06:03:56')]",2010-02-19 09:52:43,2010-02-19 09:52:43,19.947777777777777,19.947777777777777
3,2786384.0,2010-05-07 05:25:35,1057.0,0.0,0.0,2.0,,"[(2786405.0, '2010-05-07 05:31:40'), (2786442.0, '2010-05-07 05:39:25')]",2010-05-07 05:31:40,,0.10138888888888889,
4,3768373.0,2010-09-22 10:35:39,1685.0,4.0,0.0,1.0,3768461.0,"[(3768461.0, '2010-09-22 10:49:04')]",2010-09-22 10:49:04,2010-09-22 10:49:04,0.22361111111111112,0.22361111111111112
5,4866385.0,2011-02-01 18:18:49,4672.0,1.0,0.0,2.0,,"[(4896279.0, '2011-02-04 09:13:33'), (21760877.0, '2014-02-13 17:10:48')]",2011-02-04 09:13:33,,62.91222222222222,
6,5083264.0,2011-02-22 20:02:15,505.0,0.0,1.0,2.0,,"[(5085354.0, '2011-02-22 23:36:23'), (15795276.0, '2013-04-03 18:35:05')]",2011-02-22 23:36:23,,3.568888888888889,
7,5091389.0,2011-02-23 13:15:26,1038.0,0.0,4.0,1.0,5098075.0,"[(5098075.0, '2011-02-23 22:32:20')]",2011-02-23 22:32:20,2011-02-23 22:32:20,9.281666666666666,9.281666666666666
8,5148377.0,2011-02-28 22:34:26,7988.0,0.0,1.0,2.0,,"[(5148442.0, '2011-02-28 22:40:37'), (5150824.0, '2011-03-01 05:24:59')]",2011-02-28 22:40:37,,0.10305555555555555,
9,5708352.0,2011-04-18 20:14:16,14228.0,0.0,20.0,5.0,5708817.0,"[(14888625.0, '2013-02-15 05:11:49'), (19270592.0, '2013-10-09 11:18:15'), (5708817.0, '2011-04-18 20:58:10'), (43352680.0, '2017-04-11 17:34:02'), (45925854.0, '2017-08-28 19:11:09'), (70209553.0, '2021-12-03 04:31:08')]",2011-04-18 20:58:10,2011-04-18 20:58:10,0.7316666666666667,0.7316666666666667
10,5754492.0,2011-04-22 10:24:57,1618.0,2.0,0.0,1.0,5970030.0,"[(5970030.0, '2011-05-11 20:11:32')]",2011-05-11 20:11:32,2011-05-11 20:11:32,465.7763888888889,465.7763888888889
11,6284855.0,2011-06-08 20:29:16,10345.0,0.0,3.0,2.0,,"[(6285146.0, '2011-06-08 20:56:00'), (6289037.0, '2011-06-09 06:45:51')]",2011-06-08 20:56:00,,0.44555555555555554,
12,6349560.0,2011-06-14 20:15:07,845.0,2.0,0.0,2.0,6349705.0,"[(6349705.0, '2011-06-14 20:27:53'), (6359601.0, '2011-06-15 14:45:45')]",2011-06-14 20:27:53,2011-06-14 20:27:53,0.2127777777777778,0.2127777777777778
13,6462709.0,2011-06-24 02:28:49,20090.0,3.0,15.0,4.0,6462726.0,"[(6462726.0, '2011-06-24 02:32:25'), (6471035.0, '2011-06-24 16:46:27'), (14967785.0, '2013-02-19 21:29:31'), (15924125.0, '2013-04-10 11:06:28')]",2011-06-24 02:32:25,2011-06-24 02:32:25,0.06,0.06
14,6956306.0,2011-08-05 12:32:00,2470.0,1.0,2.0,2.0,,"[(6962862.0, '2011-08-05 21:32:40'), (11086933.0, '2012-06-18 16:19:57')]",2011-08-05 21:32:40,,9.011111111111111,
15,8590370.0,2011-12-21 13:14:02,44875.0,3.0,30.0,6.0,,"[(8599513.0, '2011-12-22 04:43:48'), (15819864.0, '2013-04-04 19:18:27'), (18210732.0, '2013-08-13 13:40:55'), (32600664.0, '2015-09-16 05:47:41'), (37651321.0, '2016-06-06 07:01:47'), (58607053.0, '2019-10-29 12:00:34'), (69394203.0, '2021-09-30 14:39:43')]",2011-12-22 04:43:48,,15.49611111111111,
16,9524553.0,2012-03-01 21:39:45,1353.0,3.0,2.0,1.0,11858962.0,"[(11858962.0, '2012-08-08 06:38:56')]",2012-08-08 06:38:56,2012-08-08 06:38:56,3824.986388888889,3824.986388888889
17,9684228.0,2012-03-13 12:49:51,609.0,2.0,1.0,3.0,,"[(9684598.0, '2012-03-13 13:10:47'), (9711683.0, '2012-03-14 23:07:23'), (26157942.0, '2014-10-02 09:26:46')]",2012-03-13 13:10:47,,0.3488888888888889,
