,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,54873721,2019-02-25 19:55:37,2123,0,5,2,,"[(54952215.0, '2019-03-01 20:58:36'), (60359949.0, '2020-02-23 07:10:24')]",2019-03-01 20:58:36,,97.04972222222223,
1,57248098,2019-07-29 06:16:27,442,2,1,2,60574502.0,"[(60574502.0, '2020-03-07 04:51:26'), (65097446.0, '2020-12-01 19:43:38')]",2020-03-07 04:51:26,2020-03-07 04:51:26,5326.583055555556,5326.583055555556
2,58454157,2019-10-18 15:42:39,5096,2,6,1,58456379.0,"[(58456379.0, '2019-10-18 18:28:43')]",2019-10-18 18:28:43,2019-10-18 18:28:43,2.767777777777778,2.767777777777778
3,59435020,2019-12-21 09:24:46,1356,0,4,2,59520904.0,"[(59520904.0, '2019-12-29 15:52:57'), (60146344.0, '2020-02-10 08:09:06')]",2019-12-29 15:52:57,2019-12-29 15:52:57,198.46972222222223,198.46972222222223
4,59656096,2020-01-09 01:41:04,497,3,4,1,59684161.0,"[(59684161.0, '2020-01-10 15:00:10')]",2020-01-10 15:00:10,2020-01-10 15:00:10,37.318333333333335,37.318333333333335
5,59701981,2020-01-12 07:56:33,6759,0,3,1,59703711.0,"[(59703711.0, '2020-01-12 12:18:03')]",2020-01-12 12:18:03,2020-01-12 12:18:03,4.358333333333333,4.358333333333333
6,59962851,2020-01-29 08:10:59,438,0,0,1,,"[(59992623.0, '2020-01-30 18:49:30')]",2020-01-30 18:49:30,,34.64194444444445,
7,59978959,2020-01-30 04:10:52,1478,0,9,1,,"[(60929439.0, '2020-03-30 11:20:43')]",2020-03-30 11:20:43,,1447.1641666666667,
8,60062624,2020-02-04 17:28:36,114,2,3,1,,"[(60384955.0, '2020-02-24 22:38:09')]",2020-02-24 22:38:09,,485.1591666666667,
9,60120849,2020-02-07 20:46:37,1235,2,1,1,60147063.0,"[(60147063.0, '2020-02-10 09:04:19')]",2020-02-10 09:04:19,2020-02-10 09:04:19,60.295,60.295
10,60121768,2020-02-07 22:08:49,586,0,0,1,60173172.0,"[(60173172.0, '2020-02-11 16:15:03')]",2020-02-11 16:15:03,2020-02-11 16:15:03,90.10388888888889,90.10388888888889
11,60142937,2020-02-10 01:14:22,932,5,3,1,60481050.0,"[(60481050.0, '2020-03-02 00:18:45')]",2020-03-02 00:18:45,2020-03-02 00:18:45,503.0730555555556,503.0730555555556
12,60170037,2020-02-11 13:32:13,532,0,2,1,60171807.0,"[(60171807.0, '2020-02-11 15:02:16')]",2020-02-11 15:02:16,2020-02-11 15:02:16,1.5008333333333332,1.5008333333333332
13,60187634,2020-02-12 11:46:55,56,1,1,1,,"[(60213244.0, '2020-02-13 17:13:30')]",2020-02-13 17:13:30,,29.443055555555556,
14,60192523,2020-02-12 16:07:04,1479,2,3,1,,"[(60205849.0, '2020-02-13 10:39:28')]",2020-02-13 10:39:28,,18.54,
15,60220842,2020-02-14 06:02:09,351,1,1,1,60224015.0,"[(60224015.0, '2020-02-14 09:59:27')]",2020-02-14 09:59:27,2020-02-14 09:59:27,3.955,3.955
16,60232485,2020-02-14 19:34:41,144,0,0,1,60263925.0,"[(60263925.0, '2020-02-17 13:50:03')]",2020-02-17 13:50:03,2020-02-17 13:50:03,66.25611111111111,66.25611111111111
17,60243099,2020-02-15 21:01:26,643,0,3,1,60244493.0,"[(60244493.0, '2020-02-16 00:44:37')]",2020-02-16 00:44:37,2020-02-16 00:44:37,3.7197222222222224,3.7197222222222224
18,60345277,2020-02-21 19:42:58,377,1,0,1,60390257.0,"[(60390257.0, '2020-02-25 08:22:35')]",2020-02-25 08:22:35,2020-02-25 08:22:35,84.66027777777778,84.66027777777778
19,60459292,2020-02-28 21:11:27,223,1,0,1,60480429.0,"[(60480429.0, '2020-03-01 22:35:41')]",2020-03-01 22:35:41,2020-03-01 22:35:41,49.403888888888886,49.403888888888886
20,60492839,2020-03-02 16:20:07,4470,0,12,2,60493083.0,"[(60493083.0, '2020-03-02 16:36:36'), (60504075.0, '2020-03-03 09:31:59')]",2020-03-02 16:36:36,2020-03-02 16:36:36,0.2747222222222222,0.2747222222222222
